Species,SRR7160364,SRR7162297,SRR7162298,SRR7162299,SRR7162300,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162310,SRR7162311,SRR7162312,SRR7162313,SRR7162314,SRR7162315,SRR7162316,SRR7162317,SRR7162318,SRR7162319,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162324,SRR7162325,SRR7162326,SRR7162327,SRR7162328,SRR7162329,SRR7162330,SRR7162331,SRR7162332,SRR7162333,SRR7162334,SRR7162335,SRR7162336,SRR7162337,SRR7162338,SRR7162339,SRR7162340,SRR7162341,SRR7162342,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162348,SRR7162349,SRR7162350,SRR7162351,SRR7162352,SRR7162353,SRR7162354,SRR7162355,SRR7162356,SRR7162357,SRR7162358,SRR7162359,SRR7162360,SRR7162361,SRR7162362,SRR7162363,SRR7162364,SRR7162365,SRR7162366,SRR7162367,SRR7162368,SRR7162369,SRR7162370,SRR7162371,SRR7162372,SRR7162373,SRR7162374,SRR7162375,SRR7162376,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162381,SRR7162382,SRR7162383,SRR7162384,SRR7162385,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162392,SRR7162393,SRR7162394,SRR7162395,SRR7162396,SRR7162397,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162406,SRR7162407,SRR7162408,SRR7162409,SRR7162410,SRR7162411,SRR7162412,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162417,SRR7162418,SRR7162419,SRR7162420,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Acetohalobium arabaticum,0,0,0,0,171.47354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.98147,0,76.68464,0,149.80842,0,0,0,0,0,149.46008,0,0,0,0,0,0,0,0,117.08812,151.6041,0,0,0,0,0,0,0,98.982666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.4383,0,0,116.31729,0,0,52.121216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasma laidlawii,0,98.64163,0,0,0,0,81.66215,0,0,0,0,116.9319,157.75204,0,0,0,0,0,0,0,0,0,203.36885,0,488.544527,0,117.64015,0,75.91972,136.04861,268.877464,0,0,73.00285,0,0,0,68.86493,0,0,0,0,0,0,0,0,56.819557,0,105.444305,116.22282,0,0,0,0,0,0,0,0,0,0,0,0,112.96642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.92582,0,0,0,0,90.88203,1028.35548,0,138.28032,0,0,0,0,106.204445,0,0,0,0,0,0,0,0,82.34558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.907036,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.877266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.11356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.82544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus fermentans,5578.89546,3286.823553,3483.22085,10051.08362,4366.05495,6105.3896,5274.07018,9385.07257,3353.581608,507.9778,9729.369305,5809.722825,9364.2735,430.76553,4597.72374,5284.20062,6933.010701,17560.22918,15519.29394,8982.45634,9723.11636,6986.7402,7234.46887,7416.96995,2810.541257,1745.577361,25168.31529,7716.6993,9905.925935,3959.08825,2047.376321,0,6087.211866,3198.491446,2616.48352,3820.70834,3088.16731,14866.67048,7866.335034,8708.541615,120.08906,5664.6225,607.050015,6937.57988,11134.79957,7602.4529,5827.673553,0,4014.530783,4621.82577,4357.85568,2430.983206,14575.74727,3256.21442,6831.94732,6728.0684,2615.00374,6634.69358,12357.3978,5913.490167,15327.8657,1809.49428,3079.176866,3536.66191,36023.0495,509.913194,4796.001119,3026.70406,10929.82938,4676.512864,8166.4265,3144.678135,6699.73086,8786.00281,3879.6654,5091.348435,8034.502097,2318.68591,2569.39619,6682.962871,2243.264102,4157.469625,3380.316859,9437.61989,14426.64474,3598.699455,0,8851.447136,8595.65539,7453.93555,2649.330101,449.62677,18901.57595,7968.971326,1248.178075,3365.513605,0,2782.37032,3300.45167,2175.05347,4433.34156,1561.138091,9721.79252,2767.5593,6381.71476,7163.82486,2770.871425,507.54764,12840.65112,4743.23772,0,8736.482047,15082.63332,14991.10468,991.843347,13037.6907,5732.210986,23.67530022,37650.9899,5358.54792,2560.2888,37881.23013,10352.38924,3114.16407,3028.06556,1356.77088,14486.63944,2992.03775,7468.11917,7002.92891,3265.19509
Acidimicrobium ferrooxidans,1435.6661,0,0,0,432.05339,0,0,0,0,1771.7952,504.14597,362.67352,0,0,0,148.89499,0,3080.50845,0,1886.5968,0,0,141.04182,0,0,0,135.62631,0,0,0,83.714226,1195.2577,0,124.37524,10522.041,1799.04214,408.64966,52.390873,657.83673,596.36884,56.448666,0,0,739.1596,564.7223,592.01434,58.75305,0,0,0,0,0,376.6837,709.24646,0,1133.0409,0,707.24854,0,301.30612,403.2368,361.90976,0,0,1155.1302,1597.3539,0,0,1388.6119,0,0,499.2571,0,0,2583.812,157.95468,48.96214,0,0,822.80331,0,0,0,124.77797,723.1306,0,1246.4281,0,302.77316,0,0,0,1070.4058,0,0,0,402.87143,0,225.50502,0,378.2727,872.8557,103.17,0,855.0284,245.7023,0,2108.5242,0,0,0,94.88454,136.94734,195.85565,446.21515,1665.953,1267.4078,944.41187,901.3214,0,0,165.37697,393.39014,423.8779,405.95374,1318.7832,1236.8888,114.116585,0,0,413.07333
Acidothermus cellulolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.61197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax avenae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.24344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax citrulli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.08367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.786842,0,0,0
Acidovorax ebreus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.78894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.10466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.37481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax sp. JS42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.775566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
