Query,Abundance,BGC_product,Sample,Data_group
SRR7162302_10004_1-1732,725.2118,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_10083_1-1034,1246.7325,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_10945_5696-49328,2915.071,hybrid,SRR7162302,Postmenopause_Control
SRR7162302_11137_1-2114,2970.8298,ranthipeptide,SRR7162302,Postmenopause_Control
SRR7162302_11380_1-14434,2397.6685,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_11425_1-16608,14781.733,lanthipeptide-class-i,SRR7162302,Postmenopause_Control
SRR7162302_12074_13091-34758,9464.162,ranthipeptide,SRR7162302,Postmenopause_Control
SRR7162302_12556_37265-58014,3856.6118,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_13289_1-20110,4176.591,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_13694_1-2429,993.40094,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_14225_1-5128,4009.328,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_14853_1-14003,2150.4353,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_1506_1-25268,29931.834,NRPS-like,SRR7162302,Postmenopause_Control
SRR7162302_16186_88538-109128,7424.437,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_17935_14146-35543,3623.964,ranthipeptide,SRR7162302,Postmenopause_Control
SRR7162302_20324_1-8790,2737.611,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_20594_1-12233,7773.849,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_2082_1-2433,1046.1111,ranthipeptide,SRR7162302,Postmenopause_Control
SRR7162302_21278_1-22826,2118.5742,T3PKS,SRR7162302,Postmenopause_Control
SRR7162302_22634_1-5556,1469.4807,ranthipeptide,SRR7162302,Postmenopause_Control
SRR7162302_2268_1-3244,2649.2432,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_23209_9982-30584,12295.7295,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_23848_1-1017,1430.0819,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_24506_1-13622,6774.913,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_25053_119520-139870,4931.1157,RRE-containing,SRR7162302,Postmenopause_Control
SRR7162302_25148_1-1132,905.1999,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_2531_1-1090,727.80304,RiPP-like,SRR7162302,Postmenopause_Control
SRR7162302_25427_1-4436,2742.1145,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_27213_2883-34811,2903.867,betalactone,SRR7162302,Postmenopause_Control
SRR7162302_27257_1-6620,2112.0864,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_27366_11438-32034,7922.976,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
SRR7162302_27366_3-11091,8072.08,cyclic-lactone-autoinducer,SRR7162302,Postmenopause_Control
