Query,Abundance,BGC_product,Sample,Data_group
SRR7160364_10467_1-9921,2254.892,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_11116_1-30252,104866.93,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_11810_1-21381,43003.906,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_12781_1-4904,1417.0859,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_13868_224796-251088,3749.2793,thiopeptide,SRR7160364,Premenopause_Case
SRR7160364_14028_1-19150,8766.498,lanthipeptide-class-ii,SRR7160364,Premenopause_Case
SRR7160364_14028_57658-78469,9486.491,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_14063_1-1294,1055.9913,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_14492_1-7421,8533.259,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_15102_1-1527,1380.6428,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_15291_528-16711,4163.721,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_15434_1-13472,10760.177,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_15449_1-6963,1984.8766,transAT-PKS,SRR7160364,Premenopause_Case
SRR7160364_15541_1-6637,34476.76,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_15588_1-14810,7325.885,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_15610_1-6910,7446.699,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_16113_1-19173,9882.044,lanthipeptide-class-ii,SRR7160364,Premenopause_Case
SRR7160364_16114_175497-195763,53949.59,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_16728_27000-47269,9786.379,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_17316_48787-69038,4655.6016,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_17479_6863-45246,26171.768,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_17662_1-1761,1418.8846,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_1776_71431-92192,6658.6064,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_18540_1-42083,10714.313,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_19166_1-19628,5004.506,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_19936_1-1168,1136.4822,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_19983_1-3962,1487.952,NRPS,SRR7160364,Premenopause_Case
SRR7160364_20359_106250-126516,52751.39,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_20359_65115-85862,46022.605,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_20730_1-2504,1512.3911,NRPS,SRR7160364,Premenopause_Case
SRR7160364_20890_1-2680,1544.1792,NRPS,SRR7160364,Premenopause_Case
SRR7160364_21154_1-2951,1640.5104,NRPS,SRR7160364,Premenopause_Case
SRR7160364_21962_1-4942,2046.0845,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_22024_891-12204,2191.2097,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_22150_1-5016,2132.6504,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_22208_1-4283,1896.0157,sactipeptide,SRR7160364,Premenopause_Case
SRR7160364_22232_1-17501,13514.278,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_22739_104754-125038,9428.856,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_24686_1-11764,5651.7915,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_2498_19507-43750,8647.621,lanthipeptide-class-i,SRR7160364,Premenopause_Case
SRR7160364_25308_102928-145357,26457.68,NRPS-like,SRR7160364,Premenopause_Case
SRR7160364_2591_23983-44249,12486.655,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_2603_1-15169,17401.25,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_26563_6926-27489,5154.527,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_26649_1-10032,9892.694,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_27415_1-3690,1322.5447,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_27694_1-1354,1009.1967,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_28211_1-41469,4816.521,NRPS,SRR7160364,Premenopause_Case
SRR7160364_29055_269441-317268,8508.186,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_29343_19586-39936,9411.706,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_30527_25731-46477,10080.752,CDPS,SRR7160364,Premenopause_Case
SRR7160364_30909_1-2337,1403.2893,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_32064_1-2300,1816.2787,ladderane,SRR7160364,Premenopause_Case
SRR7160364_32131_1-4320,1545.3932,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_32826_1-28021,18515.488,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_33866_39861-54296,6293.2637,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_34491_10697-51917,8042.0522,arylpolyene,SRR7160364,Premenopause_Case
SRR7160364_34816_1-31140,17716.62,NRPS,SRR7160364,Premenopause_Case
SRR7160364_34996_8887-22984,5195.1943,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_35097_3747-24013,8512.577,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_35121_1-23768,10555.397,NRPS,SRR7160364,Premenopause_Case
SRR7160364_36450_1-10911,7736.02,NRPS-like,SRR7160364,Premenopause_Case
SRR7160364_36462_6864-17307,42544.18,RiPP-like,SRR7160364,Premenopause_Case
SRR7160364_3654_6838-23693,4588.3496,ranthipeptide,SRR7160364,Premenopause_Case
SRR7160364_3823_1-5503,2085.808,RiPP-like,SRR7160364,Premenopause_Case
SRR7160364_38764_1-2598,1307.3945,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_39362_1-1801,1582.4711,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
SRR7160364_40357_16219-36572,28840.924,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_40466_2519-22785,6651.717,RRE-containing,SRR7160364,Premenopause_Case
SRR7160364_40650_1-10589,11407.534,cyclic-lactone-autoinducer,SRR7160364,Premenopause_Case
