Query,Abundance,BGC_product,Sample,Data_group
SRR7162300_100422_1-1998,957.9558,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_100529_6501-41578,1690.8635,NRPS,SRR7162300,Premenopause_Control
SRR7162300_10064_1-2928,750.2546,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_100833_267-9481,856.7805,RiPP-like,SRR7162300,Premenopause_Control
SRR7162300_100999_7152-27903,2296.3638,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_101811_1-34990,5715.033,hybrid,SRR7162300,Premenopause_Control
SRR7162300_102144_339876-427429,7801.0566,hybrid,SRR7162300,Premenopause_Control
SRR7162300_103476_1-1412,616.1459,NRPS-like,SRR7162300,Premenopause_Control
SRR7162300_10367_1-1204,849.0431,ranthipeptide,SRR7162300,Premenopause_Control
SRR7162300_104884_51950-72757,1530.2733,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_105118_1-2131,867.54865,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_10546_7145-27643,1683.8467,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_10546_86238-96819,1393.5424,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_106133_15369-35971,8444.298,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_106162_37436-58044,2320.7397,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_106162_73260-122241,2315.6658,NRPS,SRR7162300,Premenopause_Control
SRR7162300_106281_1-7677,1447.7301,ranthipeptide,SRR7162300,Premenopause_Control
SRR7162300_106486_1-11907,28276.576,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_106953_1-10410,7444.2925,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_107264_183240-201447,1730.8696,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_108166_317171-336600,2548.8752,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_108166_339615-360757,2682.8682,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_109507_1-15629,1182.8944,ranthipeptide,SRR7162300,Premenopause_Control
SRR7162300_109594_4006-25424,2967.1477,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_109660_1-4754,3934.571,cyclic-lactone-autoinducer,SRR7162300,Premenopause_Control
SRR7162300_109790_1-10750,4629.1987,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_10996_1-2475,764.5437,RRE-containing,SRR7162300,Premenopause_Control
SRR7162300_110277_1-7419,8208.636,RiPP-like,SRR7162300,Premenopause_Control
SRR7162300_111532_1-9222,7874.9795,RRE-containing,SRR7162300,Premenopause_Control
