Sample,Bacteroides_vulgatus
SRR23882998,0.0037
SRR23883026,0.0021
SRR23883028,0.38538
SRR23883029,3.4553
SRR23883030,0.47724
SRR23883036,4.51047
SRR23883044,0.00074
SRR23883046,1.55445
SRR23883051,1.01902
SRR23883056,8.06396
SRR23883105,1.38831
SRR23883132,30.00148
SRR23883231,25.34234
SRR23883236,37.81631
SRR23883280,5.11527
SRR23883289,30.16946
SRR23883291,0.00092
SRR23883293,5.8453
SRR23883301,5.11997
SRR23883306,3.14234
SRR23883374,0.00143
SRR23883380,11.61195
SRR23883388,0.00106
SRR23883390,0.00513
SRR23883391,0.00854
SRR23882969,0.00718
SRR23882982,11.36116
SRR23883009,15.26281
SRR23883020,0.00151
SRR23883027,0.18378
SRR23883031,0.00106
SRR23883032,6.31449
SRR23883033,11.58255
SRR23883034,7.60893
SRR23883035,8.91446
SRR23883037,0.35514
SRR23883038,19.8366
SRR23883039,10.55841
SRR23883040,0.00181
SRR23883041,20.79793
SRR23883042,0.00381
SRR23883043,0.00165
SRR23883045,1.62433
SRR23883047,0.00129
SRR23883048,0.00127
SRR23883049,0.01133
SRR23883050,0
SRR23883052,0.30198
SRR23883053,2.923
SRR23883054,0.03197
SRR23883122,7.15641
SRR23883123,2.78247
SRR23883124,6.62088
SRR23883125,4.47607
SRR23883126,2.11529
SRR23883127,10.37303
SRR23883128,27.39185
SRR23883129,1.34313
SRR23883130,6.96509
SRR23883131,4.49033
SRR23883133,0.06898
SRR23883134,11.445
SRR23883135,1.5435
SRR23883136,2.62034
SRR23883137,1.78352
SRR23883138,5.96491
SRR23883139,5.25401
SRR23883140,17.85179
SRR23883142,0.8825
SRR23883143,3.29426
SRR23883144,0.00365
SRR23883145,1.05045
SRR23883146,15.8423
SRR23883147,3.72871
SRR23883148,2.23989
SRR23883149,0.75367
SRR23883150,1.2262
SRR23883151,8.32351
SRR23883152,1.25621
SRR23883153,20.28708
SRR23883251,16.74195
SRR23883252,5.64685
SRR23883253,0.41202
SRR23883254,0.31532
SRR23883255,3.21712
SRR23883256,9.73217
SRR23883257,1.31264
SRR23883258,12.47844
SRR23883259,3.18586
SRR23883261,9.93595
SRR23883262,0.08785
SRR23883263,0.61972
SRR23883298,0.01447
SRR23883300,1.85053
SRR23883309,1.8253
SRR23883310,6.97204
SRR23883312,3.68258
SRR23883313,5.10077
SRR23883314,0.33837
SRR23883315,6.40527
