Sample,Bacteroides_vulgatus
SRR23882963,0.05906
SRR23882967,34.18202
SRR23882971,7.05732
SRR23882972,0.04818
SRR23882973,0.74382
SRR23882975,0
SRR23882976,0.04689
SRR23882978,16.9318
SRR23882979,3.05384
SRR23882981,0.0012
SRR23882983,17.915
SRR23882984,18.47727
SRR23882986,3.66458
SRR23882989,35.92446
SRR23882994,0.03772
SRR23882995,5.32009
SRR23882997,0.45623
SRR23883001,26.72743
SRR23883003,0.32858
SRR23883006,8.10761
SRR23883011,2.35216
SRR23883012,0.0041
SRR23883015,19.52351
SRR23883017,0.01415
SRR23883019,0.07975
SRR23882962,0.19943
SRR23882964,0.00265
SRR23882965,0.75901
SRR23882966,12.47191
SRR23882968,19.63421
SRR23882970,0.003
SRR23882974,0.89444
SRR23882977,8.06024
SRR23882980,0.92945
SRR23882985,3.91701
SRR23882987,0.73463
SRR23882988,2.06397
SRR23882990,25.12472
SRR23882991,1.24202
SRR23882992,11.0398
SRR23882993,0.0006
SRR23882996,0.00488
SRR23882999,0.78053
SRR23883000,0.00087
SRR23883002,13.53859
SRR23883004,0.00293
SRR23883005,0.59566
SRR23883007,12.43403
SRR23883008,29.69602
SRR23883010,0.70514
SRR23883122,7.15641
SRR23883123,2.78247
SRR23883124,6.62088
SRR23883125,4.47607
SRR23883126,2.11529
SRR23883127,10.37303
SRR23883128,27.39185
SRR23883129,1.34313
SRR23883130,6.96509
SRR23883131,4.49033
SRR23883133,0.06898
SRR23883134,11.445
SRR23883135,1.5435
SRR23883136,2.62034
SRR23883137,1.78352
SRR23883138,5.96491
SRR23883139,5.25401
SRR23883140,17.85179
SRR23883142,0.8825
SRR23883143,3.29426
SRR23883144,0.00365
SRR23883145,1.05045
SRR23883146,15.8423
SRR23883147,3.72871
SRR23883148,2.23989
SRR23883149,0.75367
SRR23883150,1.2262
SRR23883151,8.32351
SRR23883152,1.25621
SRR23883153,20.28708
SRR23883251,16.74195
SRR23883252,5.64685
SRR23883253,0.41202
SRR23883254,0.31532
SRR23883255,3.21712
SRR23883256,9.73217
SRR23883257,1.31264
SRR23883258,12.47844
SRR23883259,3.18586
SRR23883261,9.93595
SRR23883262,0.08785
SRR23883263,0.61972
SRR23883298,0.01447
SRR23883300,1.85053
SRR23883309,1.8253
SRR23883310,6.97204
SRR23883312,3.68258
SRR23883313,5.10077
SRR23883314,0.33837
SRR23883315,6.40527
