Sample,Eubacterium_rectale
SRR23882998,0.1504
SRR23883026,0
SRR23883028,0.21836
SRR23883029,2.1322
SRR23883030,3.70842
SRR23883036,6.97546
SRR23883044,0.62724
SRR23883046,4.81316
SRR23883051,0.09128
SRR23883056,0
SRR23883105,1.75689
SRR23883132,0.00055
SRR23883231,1.25436
SRR23883236,0.0002
SRR23883280,0
SRR23883289,0
SRR23883291,0
SRR23883293,0.00089
SRR23883301,13.24944
SRR23883306,1.47903
SRR23883374,0.00252
SRR23883380,1.12414
SRR23883388,0.00573
SRR23883390,2.10709
SRR23883391,0
SRR23882969,0.00088
SRR23882982,14.90021
SRR23883009,0
SRR23883020,0.0016
SRR23883027,1.20749
SRR23883031,0.75643
SRR23883032,1.37527
SRR23883033,0.34057
SRR23883034,0.87479
SRR23883035,0
SRR23883037,1.35203
SRR23883038,14.28299
SRR23883039,0.06499
SRR23883040,9.81299
SRR23883041,0.00249
SRR23883042,0.11413
SRR23883043,0
SRR23883045,0.39305
SRR23883047,0
SRR23883048,0
SRR23883049,0.00454
SRR23883050,0
SRR23883052,1.27455
SRR23883053,0.00245
SRR23883054,0.00385
SRR23883122,11.96375
SRR23883123,3.65526
SRR23883124,0.59559
SRR23883125,8.01701
SRR23883126,3.38988
SRR23883127,8.96689
SRR23883128,6.92826
SRR23883129,9.35909
SRR23883130,2.65293
SRR23883131,0.15569
SRR23883133,0.25024
SRR23883134,17.1204
SRR23883135,2.49793
SRR23883136,7.05313
SRR23883137,1.44978
SRR23883138,0.54055
SRR23883139,0.44522
SRR23883140,4.05172
SRR23883142,17.24592
SRR23883143,0.64184
SRR23883144,0.00345
SRR23883145,7.21359
SRR23883146,38.04942
SRR23883147,5.43499
SRR23883148,11.85019
SRR23883149,0.57935
SRR23883150,0.81626
SRR23883151,11.58028
SRR23883152,0.79112
SRR23883153,0.01283
SRR23883251,13.33778
SRR23883252,17.67409
SRR23883253,13.31359
SRR23883254,6.28948
SRR23883255,13.02419
SRR23883256,3.1152
SRR23883257,0.43356
SRR23883258,7.53382
SRR23883259,1.79136
SRR23883261,1.49958
SRR23883262,2.85432
SRR23883263,0.12055
SRR23883298,8.90779
SRR23883300,6.51348
SRR23883309,5.30576
SRR23883310,0.01121
SRR23883312,1.16447
SRR23883313,8.43477
SRR23883314,1.27101
SRR23883315,0.43257
