Query,Abundance,BGC_product,Sample,Data_group
SRR7162297_10037_1-5096,1194.644,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_10295_1-3496,2029.9652,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_10666_1465-19526,13836.635,lanthipeptide-class-i,SRR7162297,Postmenopause_Case
SRR7162297_10864_1-9391,8597.919,arylpolyene,SRR7162297,Postmenopause_Case
SRR7162297_11340_1-1170,1010.93445,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_11453_1-1997,1027.7891,arylpolyene,SRR7162297,Postmenopause_Case
SRR7162297_12030_1-1167,894.29407,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_12436_1-1202,752.4867,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_12645_14408-28825,7653.4653,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_13091_1-9935,2447.5935,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_14158_1-4248,1973.6155,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_14442_1-3280,1028.7927,NRPS,SRR7162297,Postmenopause_Case
SRR7162297_16354_19867-40025,2360.7349,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_16738_1-30485,9279.852,NRPS,SRR7162297,Postmenopause_Case
SRR7162297_17487_84146-94358,11628.939,lassopeptide,SRR7162297,Postmenopause_Case
SRR7162297_18909_1-2255,7127.3066,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_18923_1-22908,6775.9824,arylpolyene,SRR7162297,Postmenopause_Case
SRR7162297_1901_1-1429,900.7401,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_19814_1-5118,3153.8977,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_19840_1-6660,1070.803,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_20380_1-2668,1134.3923,RiPP-like,SRR7162297,Postmenopause_Case
SRR7162297_21676_438-41577,4459.7017,resorcinol,SRR7162297,Postmenopause_Case
SRR7162297_24326_1-2318,930.4824,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_24368_1-7643,4087.356,lanthipeptide-class-ii,SRR7162297,Postmenopause_Case
SRR7162297_24429_1-2864,983.87964,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_2491_1-1567,3241.259,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_25545_1-1636,1382.1658,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_25633_1-6013,2111.6978,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_25887_1-34155,46053.035,arylpolyene,SRR7162297,Postmenopause_Case
SRR7162297_26992_1-1318,1108.5719,T3PKS,SRR7162297,Postmenopause_Case
SRR7162297_27023_23164-35332,91734.2,RiPP-like,SRR7162297,Postmenopause_Case
SRR7162297_27638_10914-31504,3995.615,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_28638_1-2217,1145.4788,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_28677_22357-42623,2025.4539,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_28717_78342-98938,3555.3145,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_28836_1-1026,983.28735,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_28993_1-1501,1367.418,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_30230_36122-56472,12099.1455,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_3102_1-1297,3111.3445,arylpolyene,SRR7162297,Postmenopause_Case
SRR7162297_32594_123730-145323,4359.3784,ranthipeptide,SRR7162297,Postmenopause_Case
SRR7162297_32968_1-2730,1261.5441,RRE-containing,SRR7162297,Postmenopause_Case
SRR7162297_33462_1-5368,1607.1968,cyclic-lactone-autoinducer,SRR7162297,Postmenopause_Case
SRR7162297_34673_47535-64178,15644.584,ranthipeptide,SRR7162297,Postmenopause_Case
